Date, Value, Description
24-04-21, 328.13, Subtotal (sheet#6)
07-05-21, -13.89, Bon#2 1xKrat
21-05-21,   3.90, Bon#3 Emballage
11-06-21, -16.58, Bon#4 24xcola
14-06-21, -20.78, Bon#5 24xcola 6xFanta
14-06-21, 280.78, Subtotal
20-06-21, ------, sheet #7 to collect 83Euro
20-06-21,  +44.0, Collection sheet7, freddy5, gijs6, theo24, ruben8, reinir1 
20-06-21, 324.78, Subtotal
25-06-21,  -7.98, Bon#6 0% grolsch/amstel
25-06-21,     +1, Collection sheet7 geert1
28-06-21,    +10, Collection sheet7 bart10
03-07-21,    +20, Collection sheet7 Steven
06-07-21,     +7, Collection sheet7 rutger
06-07-21, 354.80, Subtotal
       
